Species	PrimateRisk
Rhinolophus_ferrumequinum	NA
Rhinolophus_macrotis	NA
Rhinolophus_pusillus	NA
Rhinolophus_sinicus	NA
Rhinolophus_pearsonii	NA
Homo_sapiens	demonstrated
Gorilla_gorilla	predicted_high
Pan_paniscus	predicted_high
Pan_troglodytes	predicted_high
Hylobates_moloch	predicted_high
Nomascus_leucogenys	predicted_high
Pongo_abelii	predicted_high
Macaca_mulatta	demonstrated
Macaca_fascicularis	predicted_high
Macaca_nemestrina	predicted_high
Papio_anubis	predicted_high
Theropithecus_gelada	predicted_high
Cercocebus_atys	predicted_high
Mandrillus_leucophaeus	predicted_high
Rhinopithecus_roxellana	predicted_high
Chlorocebus_sabaeus	predicted_high
Piliocolobus_tephrosceles	predicted_high
Aotus_nancymaae	predicted_low
Cebus_capucinus	predicted_low
Sapajus_apella	predicted_low
Saimiri_boliviensis	predicted_low
Callithrix_jacchus	predicted_low
Microcebus_murinus	predicted_low
Propithecus_coquereli	predicted_high
Otolemur_garnettii	predicted_low
Manis_javanica	NA
Carlito_syrichta	predicted_low
Alouatta_palliata	predicted_low
Hipposideros_pratti	NA
Myotis_daubentonii	NA
Sus_scrofa	NA
Canis_lupus	NA
Felis_catus	NA
Mustela_putorius	NA
Daubentonia_madagascariensis	predicted_high
Eulemur_flavifrons	predicted_high
